date,rank,album,artist
2025-11-01,197,No Vacancy,Treaty Oak Revival
2025-11-01,198,Am I Okay?,Megan Moroney
2025-11-01,199,Parachutes,Coldplay
2025-11-01,200,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston
2025-11-08,1,The Life Of A Showgirl,Taylor Swift
2025-11-08,2,KPop Demon Hunters,Soundtrack
2025-11-08,3,I'm The Problem,Morgan Wallen
2025-11-08,4,Son Of Spergy,Daniel Caesar
2025-11-08,5,Man's Best Friend,Sabrina Carpenter
2025-11-08,6,The Art Of Loving,Olivia Dean
2025-11-08,7,Returning To Myself,Brandi Carlile
2025-11-08,8,Am I The Drama?,Cardi B
2025-11-08,9,It's Not That Deep,Demi Lovato
2025-11-08,10,SOS,SZA
2025-11-08,11,One Thing At A Time,Morgan Wallen
2025-11-08,12,"You'll Be Alright, Kid",Alex Warren
2025-11-08,13,Debi Tirar Mas Fotos,Bad Bunny
2025-11-08,14,Stick Season,Noah Kahan
2025-11-08,15,Short n' Sweet,Sabrina Carpenter
2025-11-08,16,Deadbeat,Tame Impala
2025-11-08,17,So Close To What,Tate McRae
2025-11-08,18,Dangerous: The Double Album,Morgan Wallen
2025-11-08,19,Hit Me Hard And Soft,Billie Eilish
2025-11-08,20,Take Care,Drake
2025-11-08,21,Rumours,Fleetwood Mac
2025-11-08,22,MASA,YoungBoy Never Broke Again
2025-11-08,23,I Barely Know Her,sombr
2025-11-08,24,Hamilton: An American Musical,Original Broadway Cast
2025-11-08,25,30 Number One Hits,Jason Aldean
2025-11-08,26,Nebraska,Bruce Springsteen
2025-11-08,27,+-=÷x (Tour Collection),Ed Sheeran
2025-11-08,28,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake
2025-11-08,29,Un Verano Sin Ti,Bad Bunny
2025-11-08,30,Thriller,Michael Jackson
2025-11-08,31,The Tortured Poets Department,Taylor Swift
2025-11-08,32,The Rise And Fall Of A Midwest Princess,Chappell Roan
2025-11-08,33,$ad Boyz 4 Life II,Junior H
2025-11-08,34,Swag,Justin Bieber
2025-11-08,35,The Last Wun,Gunna
2025-11-08,36,"Where I've Been, Isn't Where I'm Going",Shaboozey
2025-11-08,37,GNX,Kendrick Lamar
2025-11-08,38,111XPANTIA,Fuerza Regida
2025-11-08,39,Curtain Call: The Hits,Eminem
2025-11-08,40,The Action (EP),BOYNEXTDOOR
2025-11-08,41,Folklore,Taylor Swift
2025-11-08,42,Beautiful Chaos (EP),KATSEYE
2025-11-08,43,MAYHEM,Lady Gaga
2025-11-08,44,Diamonds,Elton John
2025-11-08,45,MUSIC,Playboi Carti
2025-11-08,46,Submarine,The Marias
2025-11-08,47,Tim Burton's The Nightmare Before Christmas,Soundtrack
2025-11-08,48,Sour,Olivia Rodrigo
2025-11-08,49,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival
2025-11-08,50,Views,Drake
2025-11-08,51,The Secret Of Us,Gracie Abrams
2025-11-08,52,I Hope You're Happy,BigXthaPlug
2025-11-08,53,"good kid, m.A.A.d city",Kendrick Lamar
2025-11-08,54,American Heartbreak,Zach Bryan
2025-11-08,55,Hearts Sold Separately,Mariah the Scientist
2025-11-08,56,Guts,Olivia Rodrigo
2025-11-08,57,The Best Of Nickelback: Volume 1,Nickelback
2025-11-08,58,For All The Dogs,Drake
2025-11-08,59,Certified Lover Boy,Drake
2025-11-08,60,Child Of God II,Forrest Frank
2025-11-08,61,Greatest Hits,Queen
2025-11-08,62,Midnights,Taylor Swift
2025-11-08,63,Lover,Taylor Swift
2025-11-08,64,Fireworks & Rollerblades,Benson Boone
2025-11-08,65,The Collection,OneRepublic
2025-11-08,66,Don't Mind If I Do,Riley Green
2025-11-08,67,Blonde,Frank Ocean
2025-11-08,68,The Fame,Lady Gaga
2025-11-08,69,Eternal Sunshine,Ariana Grande
2025-11-08,70,Hurry Up Tomorrow,The Weeknd
2025-11-08,71,Ctrl,SZA
2025-11-08,72,Greatest Hits,Pitbull
2025-11-08,73,Hozier,Hozier
2025-11-08,74,reputation,Taylor Swift
2025-11-08,75,I've Tried Everything But Therapy (Part I),Teddy Swims
2025-11-08,76,Good Girl Gone Bad,Rihanna
2025-11-08,77,The End,Mammoth
2025-11-08,78,Graduation,Kanye West
2025-11-08,79,Creature In The Black Night,Dayseeker
2025-11-08,80,Think Later,Tate McRae
2025-11-08,81,"Greatest Hits, Vol. I & II",Billy Joel
2025-11-08,82,Currents,Tame Impala
2025-11-08,83,Take Care,BigXthaPlug
2025-11-08,84,Starboy,The Weeknd
2025-11-08,85,Hollywood's Bleeding,Post Malone
2025-11-08,86,Karma: The 4th Album,Stray Kids
2025-11-08,87,F-1 Trillion,Post Malone
2025-11-08,88,[Hybrid Theory],Linkin Park
2025-11-08,89,Zach Bryan,Zach Bryan
2025-11-08,90,Nevermind,Nirvana
2025-11-08,91,Brat,Charli xcx
2025-11-08,92,Scorpion,Drake
2025-11-08,93,This One's For You,Luke Combs
2025-11-08,94,Journey's Greatest Hits,Journey
2025-11-08,95,Hungover,Ella Langley
2025-11-08,96,50 Number Ones,George Strait
2025-11-08,97,My Turn,Lil Baby
2025-11-08,98,Beauty Behind The Madness,The Weeknd
2025-11-08,99,A Matter Of Time,Laufey
2025-11-08,100,Meteora,Linkin Park
2025-11-08,101,After Hours,The Weeknd
